Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Core #0 Thread #0 Usage [%]","Core #0 Thread #1 Usage [%]","Core #1 Thread #0 Usage [%]","Core #1 Thread #1 Usage [%]","Core #2 Thread #0 Usage [%]","Core #2 Thread #1 Usage [%]","Core #3 Thread #0 Usage [%]","Core #3 Thread #1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","Package C2 Residency [%]","Package C3 Residency [%]","Package C6 Residency [%]","Core #0 Thread 0 C0 Residency [%]","Core #0 Thread 1 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #1 Thread 1 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #2 Thread 1 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #3 Thread 1 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C6 Residency [%]","Core #1 C6 Residency [%]","Core #2 C6 Residency [%]","Core #3 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","Motherboard [°C]","PCH [°C]","CPU [°C]","Vtt [V]","+3.3V [V]","+12V [V]","VIN3 [V]","iGPU VAXG [V]","Vcore [V]","DDR A/B [V]","3VSB [V]","VBAT [V]","CPU [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Computing (Compute_0) Usage [%]","GPU Computing (Compute_1) Usage [%]","GPU VR Usage [%]","GPU Fan [%]","Performance Limit - Power [Yes/No]","Performance Limit - Thermal [Yes/No]","Performance Limit - Reliability Voltage [Yes/No]","Performance Limit - Max Operating Voltage [Yes/No]","Performance Limit - Utilization [Yes/No]","Performance Limit - SLI GPUBoost Sync [Yes/No]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
13.9.2019,17:1:41.706,4572,7928,36.5,2617,5530,32.1,1.0,1.196,1.196,1.201,1.196,3691.6,3691.6,3691.6,3691.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37,37,37,37,52,55,53,54,53,50,52,51,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,55,41,46.565,40.715,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,128,2,34,25,46,1.068,3.324,11.952,2.064,0.012,1.152,1.536,3.384,3.288,1186,No,38,38,No,No,38,No,No,0.0,0.0,0.0,0.000,0.000,1276,253,0.4,0.0,0.5,0.022,0.017,3686,1828,44,0.675,0,139.0,202.5,544.0,2.0,5.0,0.0,0.0,7.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,316,243,25,2.5,367,30,0.031,0.035,0,
13.9.2019,17:1:43.934,4572,7928,36.5,2617,5531,32.1,1.0,1.196,1.196,1.201,1.201,3691.6,3691.6,3691.6,3691.6,99.8,100.0,100.0,100.0,99.2,100.0,100.0,100.0,99.2,100.0,99.8,100.0,37,37,37,37,53,55,55,55,52,50,50,50,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,55,42,46.581,40.743,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,128,2,34,25,47,1.068,3.324,11.952,2.064,0.012,1.152,1.536,3.384,3.288,1192,No,38,38,No,No,38,No,No,0.0,0.0,0.0,0.000,0.000,1276,253,0.0,0.0,0.0,0.000,0.040,3686,1828,44,0.675,0,139.0,202.5,544.0,2.0,5.0,0.0,0.0,7.7,4.1,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,316,243,25,2.5,367,30,0.000,0.000,0,
13.9.2019,17:1:46.130,4594,7905,36.7,2618,5530,32.1,1.0,1.201,1.201,1.201,1.201,3691.6,3691.6,3691.6,3691.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37,37,37,37,52,55,54,55,53,50,51,50,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,55,42,46.699,40.850,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,128,2,34,25,47,1.068,3.324,11.952,2.064,0.012,1.152,1.536,3.384,3.288,1188,No,38,38,No,No,38,No,No,0.0,0.0,0.0,0.000,0.000,1276,253,0.4,0.1,0.5,0.001,0.102,3686,1828,44,0.675,0,139.0,202.5,544.0,6.0,6.0,0.0,1.0,7.7,7.6,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,315,242,25,2.5,367,30,1.374,0.952,0,
13.9.2019,17:1:48.357,4612,7888,36.8,2621,5526,32.1,1.0,1.201,1.201,1.196,1.196,3691.6,3691.6,3691.6,3691.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37,37,37,37,52,55,55,55,53,50,50,50,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,57,57,42,46.752,40.895,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,128,2,34,25,47,1.068,3.324,11.952,2.064,0.012,1.152,1.536,3.384,3.288,1188,No,38,38,No,No,38,No,No,1.8,0.0,1.8,0.036,0.000,1276,253,0.3,0.1,0.3,0.014,0.090,3686,1828,44,0.675,0,139.0,202.5,544.0,3.0,5.0,0.0,0.0,7.7,4.6,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,315,242,25,2.5,367,30,0.000,0.000,0,
13.9.2019,17:1:50.553,4588,7912,36.7,2621,5527,32.1,1.0,1.201,1.201,1.196,1.196,3691.6,3691.6,3691.6,3691.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37,37,37,37,52,55,54,55,53,50,51,50,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,41,46.655,40.814,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,128,2,34,25,47,1.068,3.324,11.952,2.064,0.012,1.152,1.536,3.384,3.288,1188,No,38,38,No,No,38,No,No,0.0,0.0,0.0,0.000,0.000,1276,253,0.0,0.0,0.0,0.000,0.000,3686,1828,43,0.675,0,139.0,202.5,544.0,2.0,5.0,0.0,0.0,7.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,315,242,25,2.5,367,30,1.092,0.772,0,
13.9.2019,17:1:52.800,4585,7914,36.6,2620,5527,32.1,1.0,1.196,1.201,1.196,1.201,3691.6,3691.6,3691.6,3691.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37,37,37,37,53,56,54,55,52,49,51,50,56,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,42,46.496,40.658,0.0,0.0,0.0,100.0,100.0,100.0,99.9,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,128,2,34,25,47,1.068,3.324,11.952,2.064,0.012,1.152,1.536,3.384,3.288,1190,No,38,38,No,No,38,No,No,0.0,0.0,0.0,0.000,0.000,1276,253,0.5,0.3,0.8,0.029,0.159,3686,1829,43,0.675,0,139.0,202.5,544.0,2.0,5.0,0.0,0.0,7.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,315,242,25,2.5,367,30,0.000,0.000,0,
13.9.2019,17:1:54.996,4588,7912,36.7,2620,5527,32.1,1.0,1.196,1.201,1.196,1.196,3691.6,3691.6,3691.6,3691.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37,37,37,37,53,56,54,54,52,49,51,51,56,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,42,46.474,40.627,0.0,0.0,0.0,100.0,100.0,100.0,99.9,100.0,100.0,100.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,128,2,34,25,47,1.068,3.324,11.952,2.064,0.012,1.152,1.536,3.384,3.288,1188,No,38,38,No,No,38,No,No,0.0,0.0,0.0,0.000,0.000,1276,253,0.0,0.1,0.1,0.000,0.038,3686,1829,43,0.675,0,139.0,202.5,544.0,2.0,5.0,0.0,0.0,7.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,315,242,25,2.5,367,30,0.000,0.331,0,
13.9.2019,17:1:57.208,4589,7911,36.7,2620,5527,32.1,1.0,1.196,1.196,1.196,1.196,3691.6,3691.6,3691.6,3691.6,99.8,100.0,100.0,100.0,99.2,100.0,100.0,100.0,100.0,100.0,99.9,100.0,37,37,37,37,54,55,55,55,51,50,50,50,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,55,42,46.389,40.552,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,128,2,34,25,47,1.068,3.324,11.952,2.064,0.012,1.152,1.536,3.384,3.288,1188,No,38,38,No,No,38,No,No,0.0,0.0,0.0,0.000,0.000,1276,253,0.0,0.0,0.0,0.000,0.011,3686,1829,43,0.675,0,139.0,202.5,544.0,2.0,5.0,0.0,0.0,7.7,2.8,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,315,242,25,2.5,367,30,0.476,0.035,0,
13.9.2019,17:1:59.435,4586,7914,36.6,2620,5528,32.1,1.0,1.196,1.196,1.196,1.196,3691.6,3691.6,3691.6,3691.6,99.8,100.0,100.0,100.0,99.2,100.0,100.0,100.0,100.0,100.0,99.9,100.0,37,37,37,37,53,57,54,55,52,48,51,50,57,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,42,46.441,40.592,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,128,2,34,25,47,1.068,3.324,11.952,2.064,0.012,1.152,1.536,3.384,3.288,1211,No,38,38,No,No,38,No,No,0.0,0.0,0.0,0.000,0.000,1276,253,0.0,0.0,0.0,0.000,0.005,3686,1829,43,0.675,0,139.0,202.5,544.0,3.0,6.0,0.0,0.0,7.7,4.2,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,315,242,25,2.5,367,30,0.000,0.000,0,
13.9.2019,17:2:1.678,4585,7914,36.6,2620,5528,32.1,1.0,1.196,1.196,1.196,1.201,3691.6,3691.6,3691.6,3691.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37,37,37,37,53,56,54,55,52,49,51,50,56,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,43,46.411,40.566,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.2,8.00,11,11,11,28,128,2,34,25,47,1.068,3.324,11.952,2.064,0.012,1.152,1.536,3.384,3.288,1218,No,38,38,No,No,38,No,No,0.0,0.0,0.0,0.000,0.000,1276,253,0.0,0.0,0.0,0.000,0.000,3686,1829,43,0.675,0,139.0,202.5,544.0,2.0,5.0,0.0,0.0,7.7,3.1,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,315,242,25,2.5,367,30,1.355,0.939,0,
